[17:43:59] [INFO] received Windows console close event; shutting log-core down
[17:47:30] [INFO] received Windows console close event; shutting log-core down
[17:55:27] [INFO] received Windows console close event; shutting log-core down
[18:21:10] [INFO] received Windows console close event; shutting log-core down
[18:22:31] [INFO] received Windows console close event; shutting log-core down
[18:26:35] [INFO] received Windows console close event; shutting log-core down
[18:35:51] [INFO] received Windows console close event; shutting log-core down
[19:31:46] [INFO] received Windows console close event; shutting log-core down
[19:48:55] [INFO] received Windows console close event; shutting log-core down
[19:55:29] [INFO] received Windows console close event; shutting log-core down
[19:57:48] [INFO] received Windows console close event; shutting log-core down
[19:58:24] [INFO] received Windows console close event; shutting log-core down
[19:58:46] [INFO] received Windows console close event; shutting log-core down
[20:05:07] [INFO] received Windows console close event; shutting log-core down
[20:09:57] [INFO] received Windows console close event; shutting log-core down
[20:12:16] [INFO] received Windows console close event; shutting log-core down
[20:12:18] [INFO] received Windows console close event; shutting log-core down
[20:27:59] [INFO] received Windows console close event; shutting log-core down
[20:54:20] [INFO] received Windows console close event; shutting log-core down
[20:56:21] [INFO] received Windows console close event; shutting log-core down
[21:09:18] [INFO] received Windows console close event; shutting log-core down
[21:11:40] [INFO] received Windows console close event; shutting log-core down
[21:27:14] [INFO] received Windows console close event; shutting log-core down
[21:53:57] [INFO] received Windows console close event; shutting log-core down
[22:57:34] [INFO] received Windows console close event; shutting log-core down
[22:59:18] [INFO] received Windows console close event; shutting log-core down
[23:41:49] [INFO] received Windows console close event; shutting log-core down
[15:04:40] [INFO] received Windows console close event; shutting log-core down
[16:07:35] [INFO] received Windows console close event; shutting log-core down
[16:28:48] [INFO] received Windows console close event; shutting log-core down
[16:29:35] [INFO] received Windows console close event; shutting log-core down
[16:31:35] [INFO] received Windows console close event; shutting log-core down
[16:33:00] [INFO] received Windows console close event; shutting log-core down
[17:25:51] [INFO] received Windows console close event; shutting log-core down
[17:43:24] [INFO] received Windows console close event; shutting log-core down
[20:57:05] [INFO] received Windows console close event; shutting log-core down
[21:00:29] [INFO] received Windows console close event; shutting log-core down
[21:22:31] [INFO] received Windows console close event; shutting log-core down
[21:24:18] [INFO] received Windows console close event; shutting log-core down
[21:25:25] [INFO] received Windows console close event; shutting log-core down
[21:26:15] [INFO] received Windows console close event; shutting log-core down
[21:27:10] [INFO] received Windows console close event; shutting log-core down
[21:28:00] [INFO] received Windows console close event; shutting log-core down
[21:28:41] [INFO] received Windows console close event; shutting log-core down
[21:28:55] [INFO] received Windows console close event; shutting log-core down
[21:32:03] [INFO] received Windows console close event; shutting log-core down
[21:33:12] [INFO] received Windows console close event; shutting log-core down
[21:34:40] [INFO] received Windows console close event; shutting log-core down
[21:35:54] [INFO] received Windows console close event; shutting log-core down
[21:55:23] [INFO] received Windows console close event; shutting log-core down
[21:57:43] [INFO] received Windows console close event; shutting log-core down
[22:49:48] [INFO] received Windows console close event; shutting log-core down
[20:07:42] [INFO] received Windows console close event; shutting log-core down
[20:12:51] [INFO] received Windows console close event; shutting log-core down
[22:24:56] [INFO] received Windows console close event; shutting log-core down
[23:43:55] [INFO] received Windows console close event; shutting log-core down
[23:44:17] [INFO] received Windows console close event; shutting log-core down
[23:45:45] [INFO] received Windows console close event; shutting log-core down
[23:47:25] [INFO] received Windows console close event; shutting log-core down
[23:47:38] [INFO] received Windows console close event; shutting log-core down
[23:50:11] [INFO] received Windows console close event; shutting log-core down
[23:50:49] [INFO] received Windows console close event; shutting log-core down
[23:53:17] [INFO] received Windows console close event; shutting log-core down
[23:58:58] [INFO] received Windows console close event; shutting log-core down
[01:31:06] [INFO] received Windows console close event; shutting log-core down
[11:29:00] [INFO] received Windows console close event; shutting log-core down
[11:33:04] [INFO] received Windows console close event; shutting log-core down
[11:46:49] [INFO] received Windows console close event; shutting log-core down
[11:58:46] [INFO] received Windows console close event; shutting log-core down
[12:02:51] [INFO] received Windows console close event; shutting log-core down
[12:12:30] [INFO] received Windows console close event; shutting log-core down
[21:43:37] [INFO] received Windows console close event; shutting log-core down
[21:47:10] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Vectored Exception Handler catched; shutting log-core down
[21:49:18] [INFO] received Windows console close event; shutting log-core down
[21:51:04] [INFO] received Windows console close event; shutting log-core down
[22:57:37] [INFO] received Windows console close event; shutting log-core down
[23:18:08] [INFO] received Windows console close event; shutting log-core down
[23:18:29] [INFO] received Windows console close event; shutting log-core down
[23:18:32] [INFO] received Windows console close event; shutting log-core down
[23:48:26] [INFO] received Windows console close event; shutting log-core down
[00:04:05] [INFO] received Windows console close event; shutting log-core down
[15:10:23] [INFO] received Windows console close event; shutting log-core down
[15:22:31] [INFO] received Windows console close event; shutting log-core down
[16:17:08] [INFO] received Windows console close event; shutting log-core down
[19:51:42] [INFO] received Windows console close event; shutting log-core down
[19:58:06] [INFO] received Windows console close event; shutting log-core down
[20:01:40] [INFO] received Windows console close event; shutting log-core down
[20:12:56] [INFO] received Windows console close event; shutting log-core down
[21:20:50] [INFO] received Windows console close event; shutting log-core down
[21:48:42] [INFO] received Windows console close event; shutting log-core down
[22:22:44] [INFO] received Windows console close event; shutting log-core down
[22:33:05] [INFO] received Windows console close event; shutting log-core down
[22:58:55] [INFO] received Windows console close event; shutting log-core down
[23:51:39] [INFO] received Windows console close event; shutting log-core down
[23:57:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:56:18] [INFO] received Windows console close event; shutting log-core down
[15:58:10] [INFO] received Windows console close event; shutting log-core down
[16:09:44] [INFO] received Windows console close event; shutting log-core down
[16:14:26] [INFO] received Windows console close event; shutting log-core down
[16:19:10] [INFO] received Windows console close event; shutting log-core down
[16:20:15] [INFO] received Windows console close event; shutting log-core down
[16:21:02] [INFO] received Windows console close event; shutting log-core down
[16:42:04] [INFO] received Windows console close event; shutting log-core down
[16:43:39] [INFO] received Windows console close event; shutting log-core down
[17:04:26] [INFO] received Windows console close event; shutting log-core down
[17:07:34] [INFO] received Windows console close event; shutting log-core down
[17:09:24] [INFO] received Windows console close event; shutting log-core down
[17:11:33] [INFO] received Windows console close event; shutting log-core down
[17:12:25] [INFO] received Windows console close event; shutting log-core down
[17:13:37] [INFO] received Windows console close event; shutting log-core down
[17:24:49] [INFO] received Windows console close event; shutting log-core down
[17:38:41] [INFO] received Windows console close event; shutting log-core down
[19:24:42] [INFO] received Windows console close event; shutting log-core down
[19:49:21] [INFO] received Windows console close event; shutting log-core down
[20:05:47] [INFO] received Windows console close event; shutting log-core down
[15:20:19] [INFO] received Windows console close event; shutting log-core down
[19:36:47] [INFO] received Windows console close event; shutting log-core down
[19:43:14] [INFO] received Windows console close event; shutting log-core down
[21:05:51] [INFO] received Windows console close event; shutting log-core down
[21:24:08] [INFO] received Windows console close event; shutting log-core down
[09:24:00] [INFO] received Windows console close event; shutting log-core down
[09:37:03] [INFO] received Windows console close event; shutting log-core down
[09:59:27] [INFO] received Windows console close event; shutting log-core down
[10:23:25] [INFO] received Windows console close event; shutting log-core down
[10:25:03] [INFO] received Windows console close event; shutting log-core down
[10:28:39] [INFO] received Windows console close event; shutting log-core down
[10:30:16] [INFO] received Windows console close event; shutting log-core down
[10:30:45] [INFO] received Windows console close event; shutting log-core down
[10:32:40] [INFO] received Windows console close event; shutting log-core down
[10:37:22] [INFO] received Windows console close event; shutting log-core down
[10:37:55] [INFO] received Windows console close event; shutting log-core down
[10:45:26] [INFO] received Windows console close event; shutting log-core down
[10:48:38] [INFO] received Windows console close event; shutting log-core down
[11:56:34] [INFO] received Windows console close event; shutting log-core down
[12:11:38] [INFO] received Windows console close event; shutting log-core down
[12:15:20] [INFO] received Windows console close event; shutting log-core down
[12:25:45] [INFO] received Windows console close event; shutting log-core down
[12:26:59] [INFO] received Windows console close event; shutting log-core down
[12:33:19] [INFO] received Windows console close event; shutting log-core down
[12:34:11] [INFO] received Windows console close event; shutting log-core down
[12:38:30] [INFO] received Windows console close event; shutting log-core down
[12:44:57] [INFO] received Windows console close event; shutting log-core down
[12:47:26] [INFO] received Windows console close event; shutting log-core down
[16:12:27] [INFO] received Windows console close event; shutting log-core down
[16:15:38] [INFO] received Windows console close event; shutting log-core down
[16:16:46] [INFO] received Windows console close event; shutting log-core down
[16:18:59] [INFO] received Windows console close event; shutting log-core down
[16:21:06] [INFO] received Windows console close event; shutting log-core down
[16:22:28] [INFO] received Windows console close event; shutting log-core down
[16:23:58] [INFO] received Windows console close event; shutting log-core down
[16:25:25] [INFO] received Windows console close event; shutting log-core down
[16:28:49] [INFO] received Windows console close event; shutting log-core down
[16:32:36] [INFO] received Windows console close event; shutting log-core down
[16:35:30] [INFO] received Windows console close event; shutting log-core down
[16:47:03] [INFO] received Windows console close event; shutting log-core down
[17:10:03] [INFO] received Windows console close event; shutting log-core down
[17:11:01] [INFO] received Windows console close event; shutting log-core down
[17:12:17] [INFO] received Windows console close event; shutting log-core down
[17:12:41] [INFO] received Windows console close event; shutting log-core down
[17:19:14] [INFO] received Windows console close event; shutting log-core down
[17:21:37] [INFO] received Windows console close event; shutting log-core down
[17:24:02] [INFO] received Windows console close event; shutting log-core down
[17:26:07] [INFO] received Windows console close event; shutting log-core down
[17:56:46] [INFO] received Windows console close event; shutting log-core down
[18:00:34] [INFO] received Windows console close event; shutting log-core down
[18:06:30] [INFO] received Windows console close event; shutting log-core down
[18:35:51] [INFO] received Windows console close event; shutting log-core down
[18:41:13] [INFO] received Windows console close event; shutting log-core down
[19:02:10] [INFO] received Windows console close event; shutting log-core down
[19:47:47] [INFO] received Windows console close event; shutting log-core down
[19:51:29] [INFO] received Windows console close event; shutting log-core down
[19:51:38] [INFO] received Windows console close event; shutting log-core down
[19:58:27] [INFO] received Windows console close event; shutting log-core down
[11:45:01] [INFO] received Windows console close event; shutting log-core down
[11:47:33] [INFO] received Windows console close event; shutting log-core down
[11:53:39] [INFO] received Windows console close event; shutting log-core down
[11:56:21] [INFO] received Windows console close event; shutting log-core down
[12:02:11] [INFO] received Windows console close event; shutting log-core down
[12:12:27] [INFO] received Windows console close event; shutting log-core down
[15:55:39] [INFO] received Windows console close event; shutting log-core down
[16:00:30] [INFO] received Windows console close event; shutting log-core down
[16:01:55] [INFO] received Windows console close event; shutting log-core down
[16:53:18] [INFO] received Windows console close event; shutting log-core down
[17:16:57] [INFO] received Windows console close event; shutting log-core down
[17:22:55] [INFO] received Windows console close event; shutting log-core down
[17:26:03] [INFO] received Windows console close event; shutting log-core down
[17:42:26] [INFO] received Windows console close event; shutting log-core down
[17:54:38] [INFO] received Windows console close event; shutting log-core down
[18:14:58] [INFO] received Windows console close event; shutting log-core down
[18:24:30] [INFO] received Windows console close event; shutting log-core down
